ozone		radiation		temperature			wind
41		1			67				7.4
36            	0               	72				8.0
12            	0               	74                 		12.6
18            	1               	62                 		11.5
23            	1               	65                 		8.6
19            	0               	59                 		13.8
8              	0               	61                 		20.1
16            	1               	69                 		9.7
11            	1               	66                 		9.2
14            	1               	68                 		10.9
18            	0               	58                 		13.2
14            	1               	64                 		11.5
34            	1               	66                 		12.0
6              	0               	57                 		18.4
30            	1               	68                 		11.5
11            	0               	62                 		9.7
1              	0               	59                 		9.7
11            	1               	73                 		16.6
4              	0               	61                 		9.7
32            	0               	61                 		12.0
23            	0               	67                 		12.0
45            	1               	81                 		14.9
115          	1               	79                 		5.7
37            	1               	76                 		7.4
29            	0               	82                 		9.7
71            	1               	90                 		13.8
39            	0               	87                 		11.5
23            	0               	82                 		8.0
21            	1               	77                 		14.9
37            	1               	72                 		20.7
20            	0               	65                 		9.2
12            	0               	73                 		11.5
13            	0               	76                 		10.3
135          	1               	84                 		4.0
49            	1               	85                 		9.2
32            	1               	81                 		9.2
64            	1               	83                 		4.6
40            	1               	83                 		10.9
77            	1               	88                 		5.1
97            	1               	92                 		6.3
97            	1               	92                 		5.7
85            	1               	89                 		7.4
10            	1               	73                 		14.3
27            	1               	81                 		14.9
7              	0               	80                 		14.3
48            	1               	81                 		6.9
35            	1               	82                 		10.3
61            	1               	84                 		6.3
79            	1               	87                 		5.1
63            	1               	85                 		11.5
16            	0               	74                 		6.9
80            	1               	86                 		8.6
108          	1               	85                 		8.0
20            	0               	82                 		8.6
52            	0               	86                 		12.0
82            	1               	88                 		7.4
50            	1               	86                 		7.4
64            	1               	83                 		7.4
59            	1               	81                 		9.2
39            	0               	81                 		6.9
9              	0               	81                 		13.8
16            	0               	82                 		7.4
122          	1               	89                 		4.0
89            	1               	90                 		10.3
110          	1               	90                 		8.0
44            	1               	86                 		11.5
28            	1               	82                 		11.5
65            	1               	80                 		9.7
22            	0               	77                 		10.3
59            	0               	79                 		6.3
23            	0               	76                 		7.4
31            	1               	78                 		10.9
44            	1               	78                 		10.3
21            	1               	77                 		15.5
9              	0               	72                 		14.3
45            	1               	79                 		9.7
168          	1               	81                 		3.4
73            	1               	86                 		8.0
76            	1               	97                 		9.7
118          	1               	94                 		2.3
84            	1               	96                 		6.3
85            	1               	94                 		6.3
96            	1               	91                 		6.9
78            	1               	92                 		5.1
73            	1               	93                 		2.8
91            	1               	93                 		4.6
47            	0               	87                 		7.4
32            	0               	84                 		15.5
20            	1               	80                 		10.9
23            	1               	78                 		10.3
21            	1               	75                 		10.9
24            	1               	73                 		9.7
44            	1               	81                 		14.9
21            	1               	76                 		15.5
28            	1               	77                 		6.3
9              	0               	71                 		10.9
13            	0               	71                 		11.5
46            	1               	78                 		6.9
18            	1               	67                 		13.8
13            	0               	76                 		10.3
24            	1               	68                 		10.3
16            	1               	82                 		8.0
13            	1               	64                 		12.6
23            	0               	71                 		9.2
36            	0               	81                 		10.3
7              	0               	69                 		10.3
14            	0               	63                 		16.6
30            	1               	70                 		6.9
14            	1               	75                 		14.3
18            	0               	76                 		8.0
20            	1               	68                 		11.5
